x;result;tay_iterations;tay_time;cfiterations;cf_time
5456.8865;8.6046337;85196;0.000744;374;6e-06
5460.1906;8.605239;85247;0.000752;374;6e-06
5463.4957;8.6058441;85299;0.000744;374;5e-06
5466.8018;8.606449;85350;0.000761;374;6e-06
5470.1089;8.6070538;85402;0.000759;374;6e-06
5473.417;8.6076584;85453;0.000763;374;6e-06
5476.7261;8.6082628;85505;0.000768;374;6e-06
5480.0362;8.608867;85557;0.000746;374;5e-06
5483.3473;8.609471;85609;0.000755;375;5e-06
5486.6594;8.6100749;85661;0.000748;375;5e-06
5489.9725;8.6106785;85712;0.000764;375;6e-06
5493.2866;8.611282;85764;0.000748;375;6e-06
5496.6017;8.6118853;85816;0.000766;375;6e-06
5499.9178;8.6124884;85867;0.00076;375;6e-06
5503.2349;8.6130914;85919;0.000771;375;6e-06
5506.553;8.6136941;85971;0.000763;375;5e-06
5509.8721;8.6142967;86023;0.000751;375;5e-06
5513.1922;8.6148991;86075;0.000768;376;5e-06
5516.5133;8.6155013;86126;0.000751;376;6e-06
5519.8354;8.6161033;86178;0.000769;376;6e-06
5523.1585;8.6167052;86231;0.000764;376;7e-06
5526.4826;8.6173068;86282;0.00079;376;5e-06
5529.8077;8.6179083;86334;0.000753;376;6e-06
5533.1338;8.6185096;86386;0.000776;376;5e-06
5536.4609;8.6191107;86438;0.000771;376;6e-06
5539.789;8.6197117;86490;0.000772;376;6e-06
5543.1181;8.6203124;86542;0.000755;377;6e-06
5546.4482;8.620913;86594;0.000772;377;6e-06
5549.7793;8.6215134;86646;0.000756;377;6e-06
5553.1114;8.6221137;86698;0.000778;377;5e-06
5556.4445;8.6227137;86750;0.000767;377;6e-06
5559.7786;8.6233136;86802;0.000763;377;6e-06
5563.1137;8.6239132;86854;0.000785;377;6e-06
